id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
wq_shard,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
wk_shard,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), KVHead/tp",1,,,,,forward
wv_shard,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), KVHead/tp",1,,,,,forward
wq,N,wq_shard,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""x""]}",forward
wk,N,wk_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""x""]}",forward
wv,N,wv_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""x""]}",forward
q,N,x,wq,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
k,N,x,wk,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,,forward
v,N,x,wv,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,,forward
k2,N,k,,B,3*Head/KVHead,"Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,,forward
v2,N,v,,B,3*Head/KVHead,"Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,,forward
qk,N,q,k2,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,forward
qkv,N,qk,v2,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,forward
qkv_reshape,N,qkv,,R,,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
res,N,qkv_reshape,x,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
norm,N,res,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
d_norm,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,norm,,backward
d_res,N,d_norm,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,res,,backward
wq_2,N,wq_shard,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
wk_2,N,wk_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
wv_2,N,wv_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
q_recomp,N,x,wq_2,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_norm""]}",forward
k_recomp,N,x,wk_2,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,"{""ctrl_deps"": [""d_norm""]}",forward
v_recomp,N,x,wv_2,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,"{""ctrl_deps"": [""d_norm""]}",forward
k2_recomp,N,k_recomp,,B,3*Head/KVHead,"Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
v2_recomp,N,v_recomp,,B,3*Head/KVHead,"Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
qk_recomp,N,q_recomp,k2_recomp,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_norm""]}",forward
d_qkv_reshape,N,d_res,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,qkv_reshape,,backward
d_qkv,N,d_qkv_reshape,,R,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,qkv,,backward
d_qk,N,d_qkv,v2_recomp,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,qk,,backward
d_v2,N,d_qkv,qk_recomp,M,"bsnh,bswh->bwnh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Seq/sp, Head/tp",1,,,backward
