id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x0,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
wup,Y,,,T,,"Dmodel, Dff/tp",1,,,,,forward
wgate,Y,,,T,,"Dmodel, Dff/tp",1,,,,,forward
wdown,Y,,,T,,"Dff/tp, Dmodel",1,,,,,forward
xup,N,x0,wup,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dff/tp",1,,,forward
xgate,N,x0,wgate,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dff/tp",1,,,forward
xupgate,N,xup,xgate,M,"bsm,bsm->bsm","Batch/dp, Seq/sp, Dff/tp",1,"Batch/dp, Seq/sp, Dff/tp",1,,,forward
xdown,N,xupgate,wdown,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dff/tp",1,"Dff/tp, Dmodel",1,,,forward
res,N,xdown,x0,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
norm,N,res,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
dnorm,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,norm,,backward
dres,N,dnorm,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,res,,backward
dxdown,N,dres,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,xdown,,backward
dwdown,N,dxdown,xupgate,M,"bsn,bsm->mn","Batch/dp, Seq/sp, Dmodel",1,"Batch/dp, Seq/sp, Dff/tp",1,wdown,,backward
dxupgate,N,dxdown,wdown,M,"bsn,mn->bsm","Batch/dp, Seq/sp, Dmodel",1,"Dff/tp, Dmodel",1,xupgate,,backward
dxup,N,dxupgate,xgate,M,"bsm,bsm->bsm","Batch/dp, Seq/sp, Dff/tp",1,"Batch/dp, Seq/sp, Dff/tp",1,xup,,backward
dxgate,N,dxupgate,xup,M,"bsm,bsm->bsm","Batch/dp, Seq/sp, Dff/tp",1,"Batch/dp, Seq/sp, Dff/tp",1,xgate,,backward
dwup,N,dxup,x0,M,"bsn,bsm->mn","Batch/dp, Seq/sp, Dff/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wup,,backward
dwgate,N,dxgate,x0,M,"bsn,bsm->mn","Batch/dp, Seq/sp, Dff/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wgate,,backward
dx00,N,dxup,wup,M,"bsn,mn->bsm","Batch/dp, Seq/sp, Dff/tp",1,"Dmodel, Dff/tp",1,,,backward
dx01,N,dxgate,wgate,M,"bsn,mn->bsm","Batch/dp, Seq/sp, Dff/tp",1,"Dmodel, Dff/tp",1,,,backward
dx001,N,dx00,dx01,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,backward
dx02,N,dres,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,backward
dx0,N,dx02,dx001,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,x0,,backward
