id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
wq,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
wk,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
wv,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
wq_full,N,wq,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""x""]}",forward
wk_full,N,wk,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""x""]}",forward
wv_full,N,wv,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""x""]}",forward
q,N,x,wq_full,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
k,N,x,wk_full,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
v,N,x,wv_full,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
qk,N,q,k,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,forward
qkv,N,qk,v,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,forward
qkv_reshape,N,qkv,,R,,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
res,N,qkv_reshape,x,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
norm,N,res,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
d_norm,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,norm,,backward
d_res,N,d_norm,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,res,,backward
q_recomp,N,x,wq,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_res""]}",forward
k_recomp,N,x,wk,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_res""]}",forward
v_recomp,N,x,wv,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_res""]}",forward
qk_recomp,N,q,k,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_res""]}",forward
d_qkv_reshape,N,d_res,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,qkv_reshape,,backward
d_qkv,N,d_qkv_reshape,,R,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,qkv,,backward
d_qk,N,d_qkv,v_recomp,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,qk,,backward
d_v,N,d_qkv,qk_recomp,M,"bsnh,bswh->bwnh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Seq/sp, Head/tp",1,v,,backward
d_q,N,d_qk,k_recomp,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,q,,backward
d_k,N,d_qk,q_recomp,M,"bswh,bsnh->bwnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,k,,backward
d_wq,N,d_q,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wq,,backward
d_wk,N,d_k,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wk,,backward
d_wv,N,d_v,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wv,,backward
wq_full_2,N,wq,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
wk_full_2,N,wk,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
wv_full_2,N,wv,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}",forward
d_x1,N,d_q,wq_full_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,,backward
d_x2,N,d_k,wk_full_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,,backward
d_x3,N,d_v,wv_full_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,,backward
d_x4,N,d_res,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,backward
d_x12,N,d_x1,d_x2,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,backward
d_x34,N,d_x3,d_x4,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,backward
d_x,N,d_x12,d_x34,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,x,,backward
