id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch, Seq, Dmodel",1,,,,,forward
wq,Y,,,T,,"Dmodel, Dmodel/Head, Head",1,,,,,forward
wk,Y,,,T,,"Dmodel, Dmodel/Head, Head",1,,,,,forward
wv,Y,,,T,,"Dmodel, Dmodel/Head, Head",1,,,,,forward
q,N,x,wq,M,"bsm,mnh->bsnh","Batch, Seq, Dmodel",1,"Dmodel, Dmodel/Head, Head",1,,,forward
k,N,x,wk,M,"bsm,mnh->bsnh","Batch, Seq, Dmodel",1,"Dmodel, Dmodel/Head, Head",1,,,forward
v,N,x,wv,M,"bsm,mnh->bsnh","Batch, Seq, Dmodel",1,"Dmodel, Dmodel/Head, Head",1,,,forward
qk,N,q,k,M,"bsnh,bwnh->bswh","Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Dmodel/Head, Head",1,,,forward
qkv,N,qk,v,M,"bswh,bwnh->bsnh","Batch, Seq, Seq, Head",1,"Batch, Seq, Dmodel/Head, Head",1,,,forward
qkv_reshape,N,qkv,,R,,"Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Dmodel",1,,,forward
res,N,qkv_reshape,x,A,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel",1,,,forward
norm,N,res,,E,5,"Batch, Seq, Dmodel",1,,,,,forward
d_norm,N,,,T,,"Batch, Seq, Dmodel",1,,,norm,,backward
d_res,N,d_norm,,E,5,"Batch, Seq, Dmodel",1,,,res,,backward
d_qkv_reshape,N,d_res,,I,,"Batch, Seq, Dmodel",1,,,qkv_reshape,,backward
d_qkv,N,d_qkv_reshape,,R,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel/Head, Head",1,qkv,,backward
d_qk,N,d_qkv,v,M,"bsnh,bwnh->bswh","Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Dmodel/Head, Head",1,qk,,backward
d_v,N,d_qkv,qk,M,"bsnh,bswh->bwnh","Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Seq, Head",1,v,,backward
d_q,N,d_qk,k,M,"bswh,bwnh->bsnh","Batch, Seq, Seq, Head",1,"Batch, Seq, Dmodel/Head, Head",1,q,,backward
d_k,N,d_qk,q,M,"bswh,bsnh->bwnh","Batch, Seq, Seq, Head",1,"Batch, Seq, Dmodel/Head, Head",1,k,,backward
d_wq,N,d_q,x,M,"bsnh,bsm->mnh","Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Dmodel",1,wq,,backward
d_wk,N,d_k,x,M,"bsnh,bsm->mnh","Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Dmodel",1,wk,,backward
d_wv,N,d_v,x,M,"bsnh,bsm->mnh","Batch, Seq, Dmodel/Head, Head",1,"Batch, Seq, Dmodel",1,wv,,backward
d_x1,N,d_q,wq,M,"bsnh,mnh->bsm","Batch, Seq, Dmodel/Head, Head",1,"Dmodel, Dmodel/Head, Head",1,,,backward
d_x2,N,d_k,wk,M,"bsnh,mnh->bsm","Batch, Seq, Dmodel/Head, Head",1,"Dmodel, Dmodel/Head, Head",1,,,backward
d_x3,N,d_v,wv,M,"bsnh,mnh->bsm","Batch, Seq, Dmodel/Head, Head",1,"Dmodel, Dmodel/Head, Head",1,,,backward
d_x4,N,d_res,,I,,"Batch, Seq, Dmodel",1,,,,,backward
d_x12,N,d_x1,d_x2,A,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel",1,,,backward
d_x34,N,d_x3,d_x4,A,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel",1,,,backward
d_x,N,d_x12,d_x34,A,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel",1,x,,backward
