id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
wq,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
wk,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
wv,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,,forward
q,N,x,wq,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
k,N,x,wk,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
v,N,x,wv,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,,forward
qk,N,q,k,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,forward
qkv,N,qk,v,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,forward
qkv_reshape,N,qkv,,R,,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
res,N,qkv_reshape,x,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,,forward
norm,N,res,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
