id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x0,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,,forward
wup_shard,Y,,,T,,"Dmodel/fsdp, Dff/1",1,,,,,forward
wgate_shard,Y,,,T,,"Dmodel/fsdp, Dff/1",1,,,,,forward
wdown_shard,Y,,,T,,"Dff/1, Dmodel/fsdp",1,,,,,forward
wup,N,wup_shard,,I,,"Dmodel, Dff/1",1,,,,,forward
wgate,N,wgate_shard,,I,,"Dmodel, Dff/1",1,,,,,forward
wdown,N,wdown_shard,,I,,"Dff/1, Dmodel",1,,,,,forward
x00,N,x0,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel",1,,,,,forward
xup,N,x00,wup,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, Dff/1",1,,,forward
xgate,N,x00,wgate,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, Dff/1",1,,,forward
xupgate,N,xup,xgate,M,"bsm,bsm->bsm","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Batch/dp, (Seq/cp)/tp, Dff/1",1,,,forward
xdown,N,xupgate,wdown,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Dff/1, Dmodel",1,,,forward
dxdown,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,xdown,,backward
dxdown2,N,dxdown,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel",1,,,,,backward
dwdown,N,dxdown2,xupgate,M,"bsn,bsm->mn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Batch/dp, (Seq/cp)/tp, Dff/1",1,wdown,,backward
dwdown_shard,N,dwdown,,I,,Dff/1 Dmodel/fsdp,1,,,wdown_shard,,backward
dxupgate,N,dxdown2,wdown,M,"bsn,mn->bsm","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dff/1, Dmodel",1,xupgate,,backward
dxup,N,dxupgate,xgate,M,"bsm,bsm->bsm","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Batch/dp, (Seq/cp)/tp, Dff/1",1,xup,,backward
dxgate,N,dxupgate,xup,M,"bsm,bsm->bsm","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Batch/dp, (Seq/cp)/tp, Dff/1",1,xgate,,backward
dwup,N,dxup,x0,M,"bsn,bsm->mn","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Batch/dp, (Seq/cp)/tp, Dmodel",1,wup,,backward
dwgate,N,dxgate,x0,M,"bsn,bsm->mn","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Batch/dp, (Seq/cp)/tp, Dmodel",1,wgate,,backward
dwup_shard,N,dwup,,I,,"Dmodel/fsdp, Dff/1",1,,,wup_shard,,backward
dwgate_shard,N,dwgate,,I,,"Dmodel/fsdp, Dff/1",1,,,wgate_shard,,backward
dx00,N,dxup,wup,M,"bsn,mn->bsm","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Dmodel, Dff/1",1,,,backward
dx01,N,dxgate,wgate,M,"bsn,mn->bsm","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Dmodel, Dff/1",1,,,backward
dx0,N,dx00,dx01,A,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,x0,,backward
