id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
q,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,,forward
k,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, KVHead/tp",1,,,,,forward
v,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, KVHead/tp",1,,,,,forward
k2,N,k,,B,3*Head/KVHead,"Batch/dp, Seq, Dmodel/Head, KVHead/tp",1,,,,,forward
v2,N,v,,B,3*Head/KVHead,"Batch/dp, Seq, Dmodel/Head, KVHead/tp",1,,,,,forward
qk,N,q,k2,M,"bsnh,bwnh->bswh","Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,,forward
qkv,N,qk,v2,M,"bswh,bwnh->bsnh","Batch/dp, Seq/cp, Seq, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,,forward
dqkv,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,qkv,,backward
dqk,N,dqkv,v2,M,"bsnh,bwnh->bswh","Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,qk,,backward
dv2,N,dqkv,qk,M,"bsnh,bswh->bwnh","Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/cp, Seq, Head/tp",1,v2,,backward
dq,N,dqk,k2,M,"bswh,bwnh->bsnh","Batch/dp, Seq/cp, Seq, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,q,,backward
dk2,N,dqk,q,M,"bswh,bsnh->bwnh","Batch/dp, Seq/cp, Seq, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,k2,,backward
dv1,N,dv2,,B,3*KVHead/Head,"Batch/dp, Seq, Dmodel/Head, Head/tp",1/1,,,,,backward
dk1,N,dk2,,B,3*KVHead/Head,"Batch/dp, Seq, Dmodel/Head, Head/tp",1/1,,,,,backward
dv,N,dv1,,I,,"Batch/dp, Seq/cp, Dmodel/Head, KVHead/tp",1,,,v,,backward
dk,N,dk1,,I,,"Batch/dp, Seq/cp, Dmodel/Head, KVHead/tp",1,,,k,,backward
