id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, Seq/sp, Dmodel/(ep*tp)",1,,,,,forward
wrouter,Y,,,T,,"Dmodel/(ep*tp), KExperts",1,,,,,forward
yrouter,N,x,wrouter,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dmodel/(ep*tp)",1,"Dmodel/(ep*tp), KExperts",1,,,forward
yrouter2,N,yrouter,,R,,"Batch/dp, Seq/sp, KExperts",1,"Batch/dp, Seq*KExperts/sp",1,,,forward
x1,N,x,,B,1*KExperts,"Batch/dp, Seq/sp, Dmodel/(tp*ep)",1,,,,,forward
xrouted,N,x1,,I,,"Batch/dp, Seq*KExperts/(sp*ep), Dmodel/tp",1,,,,,forward
yrouted,N,,,T,,"Batch/dp, Seq*KExperts/(sp*ep), Dmodel",1/tp,,,,,forward
y1,N,yrouted,,I,,"Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,,,,,forward
y2,N,y1,yrouter2,M,"bsn,bs->bsn","Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,"Batch/dp, Seq*KExperts/sp",1,,,forward
y,N,y2,,B,1*1/KExperts,"Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,,,,,forward
dy,N,,,T,,"Batch/dp, Seq/sp, Dmodel/(tp*ep)",1,,,,,backward
dy2,N,dy,,B,1*KExperts,"Batch/dp, Seq/sp, Dmodel/(tp*ep)",1,,,,,backward
dy1,N,dy2,yrouter2,M,"bsn,bs->bsn","Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,"Batch/dp, Seq*KExperts/sp",1,,,backward
dyrouter2,N,dy2,y1,M,"bsn,bsn->bs","Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,"Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,,,backward
dyrouted,N,dy1,,I,,"Batch/dp, Seq*KExperts/(sp*ep), Dmodel/tp",1,,,,,backward
dyrouter,N,dyrouter2,,R,,"Batch/dp, Seq*KExperts/sp",1,"Batch/dp, Seq/sp, KExperts",1,,,backward
dwrouter,N,dyrouter,x,M,"bsn,bsm->mn","Batch/dp, Seq/sp, KExperts",1,"Batch/dp, Seq/sp, Dmodel/(ep*tp)",1,wrouter,,backward
dx01,N,dyrouter,wrouter,M,"bsn,mn->bsm","Batch/dp, Seq/sp, KExperts",1,"Dmodel/(ep*tp), KExperts",1,,,backward
dxrouted,N,,,T,,"Batch/dp, Seq*KExperts/(sp*ep), Dmodel/tp",1,,,,,backward
dx1,N,dxrouted,,I,,"Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,,,,,backward
dx02,N,dx1,,B,1*1/KExperts,"Batch/dp, Seq*KExperts/sp, Dmodel/(tp*ep)",1,,,,,backward
dx,N,dx01,dx02,A,,"Batch/dp, Seq/sp, Dmodel/(tp*ep)",1,"Batch/dp, Seq/sp, Dmodel/(tp*ep)",1,,,backward
