id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, (Seq/cp), Dmodel/1",1,,,,,forward
wqkv,Y,,,T,,"Dmodel, Dmodel/Head, (Head+2*Head)/tp",1,,,,,forward
qkv,N,x,wqkv,M,"bsm,mnh->bsnh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel, Dmodel/Head, (Head+2*Head)/tp",1,,,forward
q,N,qkv,,SLICE,3:Head/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*Head)/tp",1,,,,,forward
k,N,qkv,,SLICE,3:Head/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*Head)/tp",1,,,,,forward
v,N,qkv,,SLICE,3:Head/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*Head)/tp",1,,,,,forward
attn,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,,,forward
wo,Y,,,T,,"Dmodel/Head, Head/tp, Dmodel",1,,,,,forward
o1,N,attn,wo,M,"bsmh,mhn->bsn","Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,"Dmodel/Head, Head/tp, Dmodel",1,,,forward
o,N,o1,,I,,"Batch/dp, (Seq/cp), Dmodel/1",1,,,,,forward
do,N,,,T,,"Batch/dp, (Seq/cp), Dmodel/1",1,,,o,,backward
do1,N,do,,I,,"Batch/dp, (Seq/cp)/1, Dmodel/1",1,,,o1,,backward
dattn,N,do1,wo,M,"bsn,mhn->bsmh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel/Head, Head/tp, Dmodel",1,,,backward
dwo,N,do1,attn,M,"bsn,bsmh->mhn","Batch/dp, (Seq/cp)/1, Dmodel",1,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,wo,,backward
dv,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,v,,backward
dk,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,k,,backward
dq,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,q,,backward
dkv,N,dv,dk,SLICE,3:2*Head/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,backward
dqkv,N,dkv,dq,SLICE,3:(2*Head+Head)/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, 2*Head/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,qkv,,backward
dwqkv,N,dqkv,x,M,"bsnh,bsm->mnh","Batch/dp, (Seq/cp)/1, Dmodel/Head, (2*Head+Head)/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel",1,wqkv,,backward
dx1,N,dqkv,wqkv,M,"bsnh,mnh->bsm","Batch/dp, (Seq/cp)/1, Dmodel/Head, (2*Head+Head)/tp",1,"Dmodel, Dmodel/Head, (Head+2*Head)/tp",1,,,backward
dx,N,dx1,,I,,"Batch/dp, (Seq/cp), Dmodel/1",1,,,,,backward
