id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x0,N,,,T,,"Batch/dp, (Seq/cp), Dmodel/1",1,,,,,forward
wgate,Y,,,T,,"Dmodel, Dff/tp",1,,,,,forward
wdown,Y,,,T,,"Dff/tp, Dmodel",1,,,,,forward
x00,N,x0,,I,,"Batch/dp, Seq/cp, Dmodel",1,,,,,forward
xgate,N,x00,wgate,M,"bsm,mn->bsn","Batch/dp, Seq/cp, Dmodel",1,"Dmodel, Dff/tp",1,,,forward
xdown1,N,xgate,wdown,M,"bsm,mn->bsn","Batch/dp, Seq/cp, Dff/tp",1,"Dff/tp, Dmodel",1,,,forward
xdown,N,xdown1,,I,,"Batch/dp, (Seq/cp), Dff",1,,,,,forward
dxdown,N,,,T,,"Batch/dp, (Seq/cp), Dmodel/1",1,,,xdown,,backward
dxdown2,N,dxdown,,I,,"Batch/dp, Seq/cp, Dmodel",1,,,,,backward
dwdown,N,dxdown2,xgate,M,"bsn,bsm->mn","Batch/dp, Seq/cp, Dmodel",1,"Batch/dp, Seq/cp, Dff/tp",1,wdown,,backward
dxgate,N,dxdown2,wdown,M,"bsn,mn->bsm","Batch/dp, Seq/cp, Dmodel",1,"Dff/tp, Dmodel",1,xgate,,backward
x01,N,x0,,I,,"Batch/dp, Seq/cp, Dmodel",1,,,,,forward
dwgate,N,dxgate,x01,M,"bsn,bsm->mn","Batch/dp, Seq/cp, Dff/tp",1,"Batch/dp, Seq/cp, Dmodel",1,wgate,,backward
dx000,N,dxgate,wgate,M,"bsn,mn->bsm","Batch/dp, Seq/cp, Dff/tp",1,"Dmodel, Dff/tp",1,,,backward
dx0,N,dx000,,I,,"Batch/dp, Seq/cp, Dmodel",1,,,,,backward
