id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,,forward
w_sharded,Y,,,T,,"Dmodel/fsdp, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,,,forward
w,N,w_sharded,,I,,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,,,forward
wqkv,N,w,,SLICE,2:(Head+2*KVHead)/tp,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,,,forward
qkv,N,x,wqkv,M,"bsm,mnh->bsnh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel, Dmodel/Head, (Head+2*KVHead)/tp",1,,,forward
q,N,qkv,,SLICE,3:Head/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*KVHead)/tp",1,,,,,forward
k,N,qkv,,SLICE,3:KVHead/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*KVHead)/tp",1,,,,,forward
v,N,qkv,,SLICE,3:KVHead/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*KVHead)/tp",1,,,,,forward
attn,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,,,forward
wo,N,w,,SLICE,2:Head/tp,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,,,forward
wo1,N,wo,,R,,"Dmodel, Dmodel/Head, Head/tp",1,"Dmodel/Head, Head/tp, Dmodel",1,,,forward
o1,N,attn,wo1,M,"bsmh,mhn->bsn","Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,"Dmodel/Head, Head/tp, Dmodel",1,,,forward
o,N,o1,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,,forward
do,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,o,,backward
do1,N,do,,I,,"Batch/dp, (Seq/cp)/1, Dmodel/1",1,,,o1,,backward
dattn,N,do,wo,M,"bsn,mhn->bsmh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel/Head, Head/tp, Dmodel",1,,,backward
dwo1,N,do,attn,M,"bsn,bsmh->mhn","Batch/dp, (Seq/cp)/1, Dmodel",1,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,wo,,backward
dwo,N,dwo1,,R,,"Dmodel/Head, Head/tp, Dmodel",1/(dp*cp),"Dmodel, Dmodel/Head, Head/tp",1/(dp*cp),,,backward
dwo2,N,dwo,,SLICE,2:(2*Head+2*KVHead)/tp,"Dmodel, Dmodel/Head, Head/tp",1/(dp*cp),,,,,backward
dv,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, KVHead/tp",1,,,v,,backward
dk,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, KVHead/tp",1,,,k,,backward
dq,N,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,q,,backward
dkv,N,dv,dk,SLICE,3:2*KVHead/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, KVHead/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel/Head, KVHead/tp",1,,,backward
dqkv,N,dkv,dq,SLICE,3:(2*KVHead+Head)/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, 2*KVHead/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,qkv,,backward
dwqkv,N,dqkv,x,M,"bsnh,bsm->mnh","Batch/dp, (Seq/cp)/1, Dmodel/Head, (2*KVHead+Head)/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel",1,wqkv,,backward
dwqkv2,N,dwqkv,,SLICE,2:(2*Head+2*KVHead)/tp,"Dmodel, Dmodel/Head, (Head+2*KVHead)/tp",1/(dp*cp),,,,,backward
dw,N,dwqkv2,dwo2,E2,0,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1/(dp*cp),"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1/(dp*cp),,,backward
dw_sharded,N,dw,,I,,"Dmodel/fsdp, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,w_sharded,,backward
dx,N,dqkv,wqkv,M,"bsnh,mnh->bsm","Batch/dp, (Seq/cp)/1, Dmodel/Head, (2*KVHead+Head)/tp",1,"Dmodel, Dmodel/Head, (Head+2*KVHead)/tp",1,x,,backward
