id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
q,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,,forward
k,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,,forward
v,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,,forward
qk,N,q,k,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,forward
qkv2,N,qk,v,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/cp, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,forward
qkv,N,qkv2,,I,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,,forward
dqkv,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,,backward
dqkv2,N,,,I,,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,,,,backward
dqk,N,dqkv,v,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,backward
dv,N,dqkv,q,M,"bsnh,bswh->bwnh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Seq/cp, Head/tp",1,,,backward
dq,N,dqk,k2,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/cp, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,backward
dk,N,dqk,q,M,"bswh,bsnh->bwnh","Batch/dp, Seq, Seq/cp, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,,backward
