id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel",1,,,,,forward
wrouter,Y,,,T,,"Dmodel/(ep*1), KExperts",1,,,,,forward
yrouter,N,x,wrouter,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, KExperts",1,,,forward
yrouter2,N,yrouter,,R,,"Batch/dp, (Seq/cp)/tp, KExperts",1,"Batch/dp, (Seq/cp)*KExperts/tp, 1",1,,,forward
x1,N,x,,B,1*KExperts,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,,forward
xrouted,N,x1,,I,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,,forward
yrouted,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel",1/1,,,,,forward
y1,N,yrouted,,I,,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,,forward
yrouter3,N,yrouter2,,SLICE,2:Dmodel/(1*ep),"Batch/dp, (Seq/cp)*KExperts/tp, 1",1,,,,,forward
y2,N,y1,yrouter3,E2,1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,forward
y,N,y2,,B,1*1/KExperts,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,,forward
dy,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,,backward
dy2,N,dy,,B,1*KExperts,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,,backward
dy1,N,dy2,yrouter3,E2,1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,backward
dyrouter3,N,dy2,y1,E2,1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,backward
dyrouter2,N,dyrouter3,,SLICE,2:1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,,backward
dyrouted,N,dy1,,I,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,,backward
dyrouter,N,dyrouter2,,R,,"Batch/dp, (Seq/cp)*KExperts/tp, 1",1,"Batch/dp, (Seq/cp)/tp, KExperts",1,,,backward
dwrouter,N,dyrouter,x,M,"bsn,bsm->mn","Batch/dp, (Seq/cp)/tp, KExperts",1,"Batch/dp, (Seq/cp)/tp, Dmodel/(ep*1)",1,wrouter,,backward
dx01,N,dyrouter,wrouter,M,"bsn,mn->bsm","Batch/dp, (Seq/cp)/tp, KExperts",1,"Dmodel/(ep*1), KExperts",1,,,backward
dxrouted,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,,backward
dx1,N,dxrouted,,I,,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,,backward
dx02,N,dx1,,B,1*1/KExperts,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,,backward
dx,N,dx01,dx02,A,,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,backward
