id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
x,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel",1,,,,
wrouter,Y,,,T,,"Dmodel/(ep*1), KExperts",1,,,,
yrouter,N,x,wrouter,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, KExperts",1,,
yrouter2,N,yrouter,,R,,"Batch/dp, (Seq/cp)/tp, KExperts",1,"Batch/dp, (Seq/cp)*KExperts/tp, 1",1,,
x1,N,x,,B,"1*KExperts","Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,
xrouted,N,x1,,I,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,
yrouted,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel",1/1,,,,
y1,N,yrouted,,I,,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,
yrouter3,N,yrouter2,,SLICE,"2:Dmodel/(1*ep)","Batch/dp, (Seq/cp)*KExperts/tp, 1",1,,,,
y2,N,y1,yrouter3,E2,"1","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,
y,N,y2,,B,"1*1/KExperts","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,
