id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x0,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,,forward
wup,Y,,,T,,"Dmodel, Dff/tp",1,,,,,forward
wgate,Y,,,T,,"Dmodel, Dff/tp",1,,,,,forward
wdown,Y,,,T,,"Dff/tp, Dmodel",1,,,,,forward
x00,N,x0,,I,,"Batch/dp, Seq/cp, Dmodel",1,,,,,forward
xup,N,x00,wup,M,"bsm,mn->bsn","Batch/dp, Seq/cp, Dmodel",1,"Dmodel, Dff/tp",1,,,forward
xgate,N,x00,wgate,M,"bsm,mn->bsn","Batch/dp, Seq/cp, Dmodel",1,"Dmodel, Dff/tp",1,,,forward
xupgate,N,xup,xgate,M,"bsm,bsm->bsm","Batch/dp, Seq/cp, Dff/tp",1,"Batch/dp, Seq/cp, Dff/tp",1,,,forward
xdown1,N,xupgate,wdown,M,"bsm,mn->bsn","Batch/dp, Seq/cp, Dff/tp",1,"Dff/tp, Dmodel",1,,,forward
xdown,N,xdown1,,I,,"Batch/dp, (Seq/cp)/tp, Dff",1,,,,,forward
